Term_English;Istilah_Indonesia;Definisi
Aerosols;Aerosol;Kumpulan partikel padat atau cair di udara, dengan ukuran khas antara 0,01 dan 10 µM yang berada di atmosfer setidaknya selama beberapa jam. Aerosol terbentuk secara alami seperti letusan gunung berapi atau berasal dari bahan antropogenik yang dikeluarkan oleh gas buang baik pabrik atau kendaraan bermotor. Aerosol dapat mempengaruhi iklim dengan beberapa cara: langsung melalui hamburan dan menyerap radiasi, dan tidak langsung dengan bertindak sebagai inti kondensasi awan atau memodifikasi sifat optik dan masa hidup awan.
Afforestation;Penghijauan Kembali;Penanaman hutan baru pada lahan yang secara historis belum terdapat hutan. Hutan tersebut setidaknya memerlukan jangka waktu 50 tahun untuk dapat dipergunakan, dan harus ada lahan baru yang siap menggantikan dengan melakukan penyemaian atau menyediakan benih. Untuk diskusi tentang hutan panjang dan terkait istilah seperti aforestasi, reforestasi dan deforestasi, lihat Laporan IPCC Khusus tentang Lahan, Perubahan Tata Guna Lahan - dan Kehutanan (IPCC, 2006).
AFOLU;AFOLU;Merupakan singkatan dari Agriculture, Forestry and Other land used. Penggunaan singkatan ini direkomendasikan dalam IPCC guidelines (2006) sebagai istilah baru menggantikan LULUCF (Land use, Land used change and forestry) dan pertanian.
Agreement;Kesepakatan;Kesepakatan adalah tingkat relatif konvergensi dari literatur yang dinilai oleh penulis. 5
Alliance of Small Island States (AOSIS);Perhimpunan Negara- negara kepulauan Kecil;Dibentuk pada Konferensi Iklim Dunia Yang Kedua (1990). AOSIS terdiri anggota negara-negara berkembang yang geografisnya terdiri dari gugusan pulau-pulau kecil dan pesisir dataran rendah yang sangat rentan terhadap dampak yang merugikan dari perubahan iklim, seperti kenaikan permukaan laut, coral bleaching, dan peningkatan frekuensi dan intensitas badai tropis. Mempunyai anggota lebih dari 35 negara dari kawasan Atlantik, Karibia, Samudera Hindia, Mediterania, dan Pasifik, tujuan dibentuknya AOSIS secara umum adalah masalah lingkungan dan hal-hal pembangunan berkelanjutan dalam proses UNFCCC.
Allowance;Pinjaman;Pinjaman, transaksi, right to emit di negara yang telah cap emisi di bawah Protokol Kyoto. Unit untuk pinjaman/transaksi adalah ton CO2.
Ancillary Benefits;Manfaat Tambahan;Kebijakan yang ditujukan pada sasaran tertentu, misalnya mitigasi perubahan iklim, mungkin dipasangkan dengan efek samping yang positif, seperti meningkatkan penggunaan sumberdaya efisiensi, mengurangi emisi polutan udara yang terkait dengan penggunaan fosil bahan bakar, transportasi ditingkatkan, pertanian, praktek penggunaan lahan, kerja, dan jaminan bahan bakar. Dampak tambahan juga digunakan ketika mungkin muncul efek negatif. Kebijakan diarahkan pada mereda polusi udara dapat mempertimbangkan dengan mitigasi gas rumah kaca yang merupakan manfaat tambahan, tetapi perspektif ini tidak diperhitungkan dalam kajian ini.
Annex I countries;Negara Annex I;Berdasarkan Pasal 4.(a) dan 4,(b) Konvensi, Lampiran I negara berkomitmen secara khusus untuk kembali ke tujuan secara individu atau bersama-sama untuk tingkat 1990 dari greenhouse gas emisi pada tahun 2000. Secara default, negaranegara lain disebut sebagai negara Non-Annex. Negara-negara yang termasuk dalam Anex 1 antara lain : Australia, Austria, Belarus **, Belgia, Bulgaria, Kanada, Kroasia **, Republik Ceko 6 **, Denmark, Estonia, Uni-Eropa, Firlandia, Perancis, Jerman, Yunani, Hungaria, Islandia, Irlandia, Italia, Jepang, Latvia, Liechtenstein **, Lithuania, Luxembourg, Malta, Monaco **, Belanda, Selandia Baru, Norwegia, Polandia, Portugal, Romania, Federasi Russian **, Slovakia **, Slovenia **, Spain, Sweden, Swiss, Turki **, Ukraina **, Inggris Raya dan Irlandia Utara, serta Amerika Serikat. Dimana negara dengan * merupakan negara pengamat dan ** merupakan negara yang memiliki COP dan atau CMP yang spesial.
Annex II countries;Negara Annex II;Berdasarkan Artikel 4.(g) adalah grup dari negara dalam Annex II UNFCCC termasuk negara OECD, negara tersebut diharapkan untuk menyediakan sumber pendanaan untuk membantu negara berkembang memenuhi kewajiban mereka seperti menyiapkan laporan nasional. Kelompok negara Annex II juga diharapkan untuk mempromosikan transfer teknologi dari teknologi yang ramah lingkungan kepada negara berkembang. Negara-negara yang termasuk dalam Annex II yaitu : Austria, Belgia, Kanada, Denmark, Firlandia, Perancis, Jerman, Yunani, Islandia, Irlandia, Italia, Jepang, Luxembourg, Belanda, Selandia Baru, Norwegia, Portugal, Spanyol, Swedia, Swiss, Inggris Raya dan Amerika Serikat.
Annex B Countries;Negara Annex B;Negara-Negara Yang termasuk dalam Annex B Protokol Kyoto adalah golongan negara industri dengan batasan emisi gas rumah kaca ( yang dapat berupa peningkatan emisi) atau berkomitmen untuk pengurangan emisi. Negara tersebut sedang dalam transisi menuju ekonomi pasar. Perbedaan antara negara Annex I dan Annex B adalah Turki dan Belarusia
Antropogenik;Antropogenik;Buatan manusia atau kejadian yang disebabkan oleh manusia.
Aggregate Impacts;Dampak yang Terintegrasi;Jumlah total dampak yang terintegrasi di sektor dan / atau pada suatu wilayah. Agregasi dampak membutuhkan pengetahuan (atau asumsi tentang) kepentingan relatif dari dampak di berbagai 7 sektor dan wilayah. Ukuran dampak agregat meliputi, misalnya, jumlah orang yang terkena, atau biaya ekonomi total
Algae;Ganggang;Ganggang adalah sejenis tanaman atau tumbuhan yang mampu berfotosintesis, dapat dilihat secara mikroskopis, organisme ini hidup dalam ekosistem laut dan air tawar.
Algal bloom;Ledakan Ganggang;Sebuah ledakan reproduksi atau populasi ganggang di danau, sungai atau laut
Alpine;Alpine;Zona geografii yang ada di lereng gunung dengan dicirikan adanya tumbuhnya pohon-pohon tanaman rendah, semak, dan tanaman berkayu tumbuh lambat.
Air mass;Massa Udara;Massa udara, menempati ruang yang luas di udara
Albedo;Albedo;Fraksi pantulan radiasi matahari oleh permukaan atau objek, sering dinyatakan sebagai persentase. Tertutup salju permukaan memiliki Albedo tinggi. Albedo permukaan tanah berkisar dari tinggi ke rendah, dan permukaan yang tertutup vegetasi dan lautan memiliki albedo yang rendah. Albedo di bumi bervariasi terutama melalui kekeruhan yang bervariasi, salju, tutupan es, luas daun dan perubahan tutupan lahan.
Albedo feedback;Pengaruh Balik Albedo;Sebuah umpan balik iklim yang melibatkan perubahan dalam Albedo bumi. Biasanya mengacu pada perubahan dalam kriosfer (lapisan es di permukaan bumi), yang memiliki Albedo jauh lebih besar (~ 0,8) dari Albedo planet rata(~ 0,3). Dalam terjadinya pemanasan iklim global, diperkirakan bahwa kriosfer akan menyusut, Albedo bumi keseluruhan akan menurun dan radiasi matahari akan diserap lebih oleh bumi sehingga bumi jauh lebih hangat. 8
Alkalinity;Akalinitas;Ukuran kapasitas solusi untuk menetralkan asam.
Altimetry;Aklimetri;Sebuah teknik untuk mengukur ketinggian laut, danau atau sungai, tanah atau permukaan es sehubungan dengan pusat bumi dalam kerangka yang didefinisikan sebagai referensi terestrial. Lebih konvensional, para tinggi adalah sehubungan dengan elipsoid referensi standar aproksimasi oblateness (kecengungan) Bumi, dan dapat diukur dari ruang angkasa dengan menggunakan radar atau laser dengan presisi sentimetrik saat ini. Keuntungan altimetri telah menjadi ukuran geosentris, bukan relatif terhadap kerak bumi seperti untuk tide gauge, dan pengukuran cakupan affording kuasi-global.
Annular modes;Mode Melingkar;Pilihan pola-pola perubahan di atmosfer sesuai dengan perubahan rata-rata sirkulasi baratan dalam wilayah lintang menengah. Mode annular Utara memiliki bias ke Atlantik Utara dan memiliki hubungan yang besar dengan Osilasi Atlantik Utara (Northern Atlantic Oscillation). Mode annular Selatan terjadi di Belahan bumi Selatan. Variabilitas dari lintang menengah baratan juga dikenal memilikil aliran zonal (atau angin) yang mudah berubah-ubah, dan diketahui melalui indeks zonal (barat timuran).
Anthropogenic emissions;Emisi Antropogenik;Emisi gas rumah kaca, perkusor-perkusor gas rumah kaca, dan aerosol yang terkait dengan kegiatan manusia. Ini termasuk pembakaran bahan bakar fosil, deforestasi, perubahan pemanfaatan lahan, ternak, pemupukan, dll yang menghasilkan kenaikan emisi.
Aquaculture (Budi Daya dengan Media Air));Aquaculture (Budi Daya dengan Media Air));Budidaya dari tanaman air atau hewan seperti penangkaran ikan kerapu, salmon atau kerang dibuat untuk dapat dipanen.
Aquifer;Aquifer;Sebuah lapisan batuan tembus yang menyandang air. Suatu 9 lapisan bebas akuifer akan diisi langsung oleh hujan lokal, sungai dan danau, dan laju resapan akan dipengaruhi oleh kemampuan tembus air dari batuan dan tanah diatasnya.
Aragonite;Aragonite;Suatu mineral calcium karbonat (kapur), yang digunakan oleh jenis kerang dalam membentuk rumah atau, organisme sejenisnya yang mengapur seperti karang (karang hangat dan dingin), contohnya makroalga tertentu, siput laut, dan jenis moluska seperti misalnya, kerang, tiram, cumi-cumi, gurita). Aragonit lebih sensitif untuk pengasaman laut, juga termasuk dari kalsit digunakan oleh banyak organisme laut.
Arbovirus;Arbovirus;Berbagai virus yang ditularkan oleh arthropoda pengisap darah (misalnya, nyamuk, kutu, dll) dan termasuk agen penyebab demam berdarah, demam kuning, dan beberapa jenis ensefalitis.
Arid region;Daerah Arid;Sebuah wilayah dataran dengan curah hujan rendah, di mana nilai 'rendah' tersebut secara luas menerima curah hujan dibawah 250 mm per tahun.
Article 12 projects;Proyek Artikel 12;Artikel 12 merupakan salah satu artikel pada Protokol Kyoto. Dimana artikel ini menguraikan mekanisme clean development project dan keriterianya.
Article 6 projects;Proyek Artikel 6;Artikel 12 merupakan salah satu artikel pada Protokol Kyoto. Dimana artikel ini menjelaskantentang kerjasama implementasi dan kriterianya.
Assigned Amount (AA) (;bESARAN YANG dITETAPKAN;Jumlah besaran emisi gas rumah kaca akibat manusia yang ditetapkan dalam Protokol Kyoto negara-negara industri (Annex I) selama periode tertentu. Di bawah Protokol Kyoto yang sudah disepakati, jumlah emisi gas yang ditetapkan adalah jumlah emisi gas rumah kaca yang negara Annex B telah setuju untuk sebagai 10 batas tertinggi untuk emisi dalam periode komitmen pertama (2008 ke 2012). AA adalah total emisi gas rumah kaca negara tersebut pada tahun 1990 dikalikan dengan lima (untuk periode komitmen lima tahun) dan dengan persentase yang disepakati sebagai tercantum dalam Lampiran B dari Protokol Kyoto (misalnya 92% untuk Uni Eropa, 93% untuk Amerika Serikat).
Assigned Amount Unit (AAU);Besar Unit yang Ditetapkan;AAU merupakan unit yang diperdagangkan yang yang dihasilkan dari target emisi negara Annex 1 berdasarkan Protokol Kyoto. Sebuah AAU sama dengan 1 ton (metrik ton) CO2 atau setara emisi dihitung dengan menggunakan nilai potensi pemanasan global (Global Warming Potential).
Atlantic Multi-decadal Oscillation (AMO);Asilasi multi Dasarian di Atlantik;Multi-decadal (65 untuk 75 tahun) risiko fluktuasi di Atlantik Utara, di mana permukaan laut suhu menunjukkan fase hangat selama sekitar 1860-1880 dan1905, 1930 ke 1960 dan fase dingin selama untuk 1925 dan 1970-1990 dengan berbagai urutan 0,4 °C.
Atmosfer;Atmosfir;Lapisan gas yang menyelimuti bumi yang berfungsi mempertahankan suhu udara dalam fluktuasi yang kecil melalui proses efek rumah kaca dan menahan radiasi matahari yang berbahaya. Atmosfer tersusun dari 78% Nitrogen (N?), 21% Oksigen (O?), 0,9% Argon (Ar), dan 0,03% Kabondioksida (CO?). Sisanya berupa gas-gas lain seperti Helium (He), Hidrogen (H), Xenon, (Xe) Ozon (O?), uap air, dan partikel-partikel debu yang dikenal sebagai aerosol. Ketebalan atmosfer bumi mencapai ribuan kilometer. Atmosfer yang terbentang pada ketinggian 500 hingga 1000 km di angkasa luar itu menjadi pelindung bagi mahluk hidup di bumi. Lapisan atmosfer paling atas kondisinya sangat tipis dan renggang, sehingga partikel-partikel dapat bergerak bebas dan dapat lepas dari gravitasi bumi. Sebaliknya pada lapisan bawah atmosfer sangat tebal dan terdiri dari gas, air, debu, dan lain-lain. Keadaan ini yang menyebabkan terjadinya aktivitas cuaca dan iklim di bumi. 11
Autonomous (exogenous) technological change;Perubahan Teknologi yang Dpaksakan;Perubahan teknologi otonom (eksogen) yang dipaksakan dari luar model, biasanya dalam bentuk trend waktu mempengaruhi permintaan energi atau pertumbuhan output dunia. 12
Backstop technology;Teknologi Pendukung;"Model estimasi mitigasi sering mencirikan sebuah teknologi bebas karbon sewenang-wenang (sering untuk pembangkit listrik) yang tersedia di masa depan dalam persediaan yang tidak terbatas model cakrawala atas. Ini memungkinkan model untuk menjelajahi konsekuensi dan pentingnya solusi teknologi generik tanpa menjadi terjebak dalam memilih teknologi. Ini ""pagar"" atau batasan teknologi yang mungkin seperti suatu teknologi nuklir, teknologi fosil dengan menangkap dan penyerapan surya, atau sesuatu yang belum terbayangkan. Teknologi pagar adalah biasanya diasumsikan baik untuk tidak saat ini, atau hanya ada biaya lebih tinggi relatif terhadap alternatif konvensional."
Bali Action Plan;Rencana Aksi Bali;Bali Action Plan mengacu pada Keputusan 1/CP.13 yang memberikan kerangka kerja untuk proses lengkap negosiasi international sehingga dapat memberikan implementasi dari konfrensi yang lengkap, efectif dan berkelanjutan sepanjang kerjasama, pada saat ini hingga 2012 dan setelahnya. Action Plan ini termasuk ketentuan-ketentuan untuk pendekatan kebijakan dan insentif positif untuk isu-isu mengenai pengurangan emisi dari pengurangan dan penggundulan hutan di Negara-negara berkembang. Selain itu peranan dari konservasi, pengelolaan berkelanjutan dari hutan dan carbon stok didalamnya di Negaranegara berkembang.
Bali Road Map;Peta Jalan Bali;Dikenal juga dengan peta jalan Bali adalah dokumen kesepakatan aksi yang dihasilkan sidang COP-13/UNFCCC tahun 2007 di Bali yang terdiri dari lima hal poko yaitu komitmen paska 2012, adaptasi, transfer teknologi, REDD dan CDM.
Banking;Perbankan;Menurut Protokol Kyoto [Pasal (13)], termasuk pihak dalam Annex I UNFCCC dapat menghemat AAU kelebihan dari yang pertama periode komitmen untuk memenuhi batas atas masing13 masing dalam komitmen berikutnya periode (pasca 2012). Batas maksimum 2,5% dari jumlah target suatu negara telah ditetapkan masuk segagai kredit perbankan yang dapat digunakan dalam periode berikutnya, baik untuk unit pengurangan emisi dari proyek Implementasi bersama dan pengurangan emisi yang diakui dari proyek Clean Development Mechanism. Unit Jumlah ditugaskan dari perdagangan emisi dapat dieksekusi tanpa pembatasan, sedangkan Removal Unit untuk penghapusan CO2 tidak bisa masuk sebagai kredit.
Barrier;Pembatas;Setiap hambatan untuk mencapai potensi tujuan, adaptasi atau mitigasi yang dapat mengatasi atau dilemahkan oleh kebijakan, program, atau diukur. Penghapusan hambatan termasuk mengoreksi kegagalan pasar langsung atau mengurangi biaya transaksi dalam masyarakat dan ektor swasta dengan misalnya meningkatkan kapasitas kelembagaan, mengurangi risiko dan ketidakpastian, memfasilitasi transaksi pasar, dan menegakkan peraturan kebijakan.
Baseline/reference;Referensi;"Baseline (atau referensi) adalah dimana perubahan diukur terhadap suatu keadaan awal yang terukur. Mungkin 'baseline saat ini', dalam hal ini merupakan awal kondisi diamati. Hal ini juga mungkin ""masa depan baseline', yang adalah satu set proyeksi kondisi masa depan tidak termasuk faktor pendorong yang menarik. Kondisi alternatif interpretasi dapat menimbulkan referensi beberapa baseline. Dengan kata lain baseline dapat dinyaqtakan sebagai emisi gas rumah kaca yang akan terjadi tanpa kegiatan proyek atau intervensi kebijakan. Karena itu menggambarkan emisi yang berhubungan dengan skenario bisnis seperti biasa. Pengurangan emisi tambahan dari kontribusi proyek hanya dapat ditentukan setelah baseline telah dinilai. Berbagai pendekatan dapat diambil untuk menentukan baseline, tetapi pendekatannya harus dijustifikasi sebagai bagian dari proses validasi proyek."
Basin;Daerah Aliran Sungai - DAS;Daerah drainase sungai, sungai atau danau. Lebih dikenal sebagai daerah tangkapan air (DAS). 14
Benthic Community;Benthic Community;Komunitas organisme yang hidup pada atau dekat bagian bawah wilayah-wilayah yang banyak mengandung air, seperti sungai, danau atau samudra.
Benchmark;Patokan;Sebuah variabel yang terukur dan digunakan sebagai dasar atau acuan dalam mengevaluasi kinerja organisasi. Benchmark dapat ditarik dari pengalaman internal, bahwa organisasi lain atau dari kebutuhan hukum sering digunakan untuk mengukur perubahan kinerja dari waktu ke waktu.
Bayesian Method;Metode Bayesian;Metode Bayesian merupakan metode dimana sebuah analisis statistik dari suatu kuantitas yang tidak diketahui atau tidak pasti dilakukan dengan jalan keluar dalam dua langkah. Pertama, distribusi probabilitas sebelum diformulasikan berdasarkan pengetahuan yang ada (baik dengan memunculkan pendapat ahli atau dengan menggunakan data yang ada dan studi). Pada tahap ini terlebih dulu, elemen subjektivitas mungkin mempengaruhi pilihan, tetapi dalam banyak kasus, sebelum istribusi probabilitas dipilih senetral mungkin, agar tidak mempengaruhi hasil analisis. Pada langkah kedua, data baru diperoleh diperkenalkan, dengan menggunakan teorema dirumuskan oleh dan dinamai matematikawan Inggris Bayes (1702-1761), untuk memperbarui distribusi prior (sebelum) ke dalam distribusi posterior (setelah).
BioCarbon Fund (Dana BioCarbon;BioCarbon Fund (Dana BioCarbon;Merupakan dana public/swasta dikelola oleh World Bank untuk melakukan proyek yang menyerap atau mengkonservasi karbon di hutan dan agroekosistem.
Biodiversity;Keragaman Hayati;Total keragaman dari semua organisme dan ekosistem di berbagai skala spasial (dari gen untuk seluruh bioma).
Bilateral CDM;Bilateral CDM;Sebuah proyek CDM bilateral adalah bentuk standar dari proyek CDM, yang melibatkan investor, negara maju dan sejumlah negara berkembang 15
Biofuel;Biofuel;Adalah suatu bahan bakar yang dihasilkan dari bahan organik atau minyak mudah terbakar yang dihasilkan oleh tanaman. Contoh biofuel termasuk alkohol, minyak jarak, dan minyak kedelai.
Biomass;Biomass;"Massa total atau volume organisme yang hidup di daerah tertentu; bahan tanaman mati dapat dimasukkan sebagai biomassa mati."
Biome;Bioma;Bioma adalah suatu elemen regional yang besar dan berbeda dari biosfer, biasanya terdiri dari beberapa ekosistem (hutan misalnya,sungai, kolam, rawa di suatu daerah). Bioma ditandai oleh komunitas tumbuhan dan hewan yang khas.
Biosphere;Biosphere;Bagian dari sistem Bumi terdiri yang dari semua ekosistem dan organisme hidup, di atmosfer, di darat (terestrial biosfer) atau di lautan (biosfer laut),t ermasuk yang berasal bahan organik mati, seperti sampah organik materi tanah dan detritus oseanik.
Biota;Biota;"Semua organisme yang hidup di suatu daerah; flora dan fauna dianggap sebagai suatu unit."
Bog;Bog;Kumpulan gambut lahan basah yang bersifat asam.
Black carbon;bb;"Secara operasional didefinisikan sebagai jenis aerosol yang berdasarkan pada pengukuran reaktivitas penyerapan dan kimia cahaya dan / ataustabilitas termal; terdiri dari jelaga, arang dan / atau mungkin bahan organik tahan api (Charlson dan Heintzenberg, 1995, hal. 401)."
Blocking anticyclone;Blocking anticyclone;Sebuah anticyclone yang berada pada posisi tetap hampir 16 stasioner selama seminggu atau lebih pada menengah atau lintang tinggi, sehingga menghambat system perkembangan pergerakan tekanan tinggi dan tekanan rendah dalam pola cuaca yang normal.
Boreal forest;Hutan Boreal;Hutan pinus, cemara, cemara dan larch yang membentang dari timur pantai barat Kanada hingga Alaska dan berkelanjutan dari Siberia ke arah barat melintasi batas seluruh Rusia ke benua Eropa. Wilayah ini mempunyai Iklim kontinental, dengan panjang, musim dingin yang sangat dingin (sampai 6 bulan dengan suhu rata-rata di bawah titik beku), dan selama musim panas yang singkat mempunyai curah hujan yang meningkat, meskipun demikian jumlah curah hujan tahunan dianggap masih rendah. Adanya tingkat penguapan yang rendah diwilayah ini sehingga membuat iklim yang lembab.
Breakwater;Pemecah Air;Suatu bangunan kasar (contoh kumpulan pecahan batu-batu gunung/kali) yang dibangun atau disusun di pinggir pantai atau bahkan di laut, untuk menahan hempasan gelombang, melindungi pelabuhan, pantai atau daerah pantai. Sebuah breakwater dapat dibangun sepanjang pantai atau anjungan lepas pantai.
Bowen ratio;Bowen ratio;Ukuran jumlah fluxes panas laten dari permukaan bumi sampai ke atmosfer. Nilai terendah (urutan 0,1) untuk permukaan basah seperti laut, dan lebih besar dari 2 untuk padang pasir dan wilayah kering.
Bottom-up models;Model dari Bawah ke Atas;Model yang mewakili realitas dengan menggabungkan karakteristik kegiatan dan proses yang spesifik, rekayasa teknologi dan rincian biaya.
